"","country","study_num","max_depth_cm","Items_kg","latitude","longitude"
"543","Iran","16",6,157.5,35.46556,51.32306
"544","Iran","16",6,255,35.46611,51.325
"545","Iran","16",6,400,35.46778,51.32333
"546","Iran","16",6,160,35.46667,51.32222
"547","Iran","16",6,485,35.46583,51.31833
"548","Spain","17",10,2799,37.87941,-0.8418
"549","Spain","17",10,3555,37.81969,-0.86705
"550","Spain","17",10,2793,37.73928,-1.03645
"551","Spain","17",10,3086,37.88981,-0.80306
"552","Spain","17",10,2183,37.87498,-0.79808
"553","Spain","17",10,993,37.8504,-0.78905
"554","Brazil","18",50,4259,-22.3144,-49.0729
"555","Brazil","18",50,1304,-22.3105,-49.0564
"556","Brazil","18",50,1852,-22.3159,-49.0737
"557","Brazil","18",100,755,-22.3144,-49.0729
"558","Brazil","18",100,592,-22.3105,-49.0564
"559","Brazil","18",100,195,-22.3159,-49.0737
"560","Brazil","18",150,780,-22.3144,-49.0729
"561","Brazil","18",150,577,-22.3105,-49.0564
"562","Brazil","18",150,585,-22.3159,-49.0737
"563","Brazil","18",200,1764,-22.3144,-49.0729
"564","Brazil","18",200,777,-22.3105,-49.0564
"565","Brazil","18",200,945,-22.3159,-49.0737
"566","Brazil","18",250,1541,-22.3144,-49.0729
"567","Brazil","18",250,577,-22.3159,-49.0737
"568","Portugal","19",10,30000,40.187147,-8.493147
"569","Portugal","19",10,38000,40.168156,-8.449139
"570","Portugal","19",10,64000,40.147694,-8.436544
"571","Portugal","19",10,29000,40.18085,-8.466564
"572","Portugal","19",10,90000,40.190056,-8.457436
"573","Portugal","19",10,53000,40.216439,-8.433425
"574","Portugal","19",10,63000,40.224681,-8.398086
"575","Portugal","19",10,24000,40.235286,-8.42895
"576","Portugal","19",10,109000,40.208633,-8.405947
"577","Portugal","19",10,21000,40.185383,-8.490211
"578","Portugal","19",10,12000,40.167161,-8.451689
"579","Portugal","19",10,54000,40.203464,-8.487428
"580","Portugal","19",10,54000,40.212767,-8.454519
"581","Portugal","19",10,51000,40.196761,-8.456561
"582","Portugal","19",10,195000,40.227889,-8.409525
"583","Portugal","19",10,155000,40.233817,-8.395036
"584","Portugal","19",10,149000,40.229992,-8.429022
"585","Portugal","19",10,247000,40.196103,-8.421503
"586","Portugal","19",10,76000,40.189625,-8.488875
"587","Portugal","19",10,68000,40.161036,-8.455664
"588","Portugal","19",10,54000,40.193956,-8.488433
"589","Portugal","19",10,114000,40.20995,-8.451258
"590","Portugal","19",10,64000,40.195797,-8.442736
"591","Portugal","19",10,142000,40.222508,-8.422625
"592","Portugal","19",10,66000,40.223186,-8.399372
"593","Portugal","19",10,139000,40.224767,-8.439794
"594","Portugal","19",10,164000,40.162164,-8.44645
"595","Portugal","19",10,107000,40.200072,-8.484661
"596","Portugal","19",10,285000,40.195553,-8.491494
"597","Portugal","19",10,120000,40.196067,-8.46
"598","Portugal","19",10,192000,40.209789,-8.452958
"599","Portugal","19",10,238000,40.219647,-8.436647
"600","Portugal","19",10,89000,40.216203,-8.424539
"601","Portugal","19",10,49000,40.227461,-8.437642
"602","Portugal","19",10,181000,40.201314,-8.407969
"603","Portugal","19",10,79000,40.158111,-8.458931
"604","Portugal","19",10,182000,40.166278,-8.457953
"605","Portugal","19",10,90000,40.156286,-8.467278
"606","Portugal","19",10,93000,40.179767,-8.470083
"607","Portugal","19",10,102000,40.197886,-8.460292
"608","Portugal","19",10,192000,40.221178,-8.430508
"609","Portugal","19",10,184000,40.220025,-8.412897
"610","Portugal","19",10,148000,40.240492,-8.444119
"611","Portugal","19",10,74000,40.197561,-8.4197
